institution,city,region,sector,first,initials,last
Kansas State University,Manhattan KS,Kansas,Soc,bongsug, chae
Kansas State University,Manhattan KS,Kansas,Chem,amitabha, chakrabarti
Kansas State University,Manhattan KS,Kansas,Math,brent,c,chamberlain
Kansas State University,Manhattan KS,Kansas,Med,delores,h,chambers
Kansas State University,Manhattan KS,Kansas,Bio,kyeongok, chang
Kansas State University,Manhattan KS,Kansas,Eng-Ind,shing,i,chang
Kansas State University,Manhattan KS,Kansas,Bio,stephen,k,chapes
Kansas State University,Manhattan KS,Kansas,Bio,sambhudas, chaudhuri
Kansas State University,Manhattan KS,Kansas,Phys,jianhan, chen
Kansas State University,Manhattan KS,Kansas,Math,andrew,l,chermak
Kansas State University,Manhattan KS,Kansas,Chem,viktor, chikan
Kansas State University,Manhattan KS,Kansas,Math,michael,a,chilton
Kansas State University,Manhattan KS,Kansas,Econ,ansley,chan,chua
Kansas State University,Manhattan KS,Kansas,Econ,chairat, chuwonganant
Kansas State University,Manhattan KS,Kansas,Agr,ignacio,antonio,ciampitti
Kansas State University,Manhattan KS,Kansas,Soc,sabri, ciftci
Kansas State University,Manhattan KS,Kansas,Med,alfonso, clavijo
Kansas State University,Manhattan KS,Kansas,Bio,rollie,j,clem
Kansas State University,Manhattan KS,Kansas,Eng-Ind,laurence,a,clement
Kansas State University,Manhattan KS,Kansas,Bio,raymond,a,cloyd
Kansas State University,Manhattan KS,Kansas,Chem,gary,j,coates
Kansas State University,Manhattan KS,Kansas,Math,todd,e,cochrane
Kansas State University,Manhattan KS,Kansas,Soc,jason, coleman
Kansas State University,Manhattan KS,Kansas,Math,royce,ann,collins
Kansas State University,Manhattan KS,Kansas,Math,jeffrey,r,comer
Kansas State University,Manhattan KS,Kansas,Soc,mary,t,copple
Kansas State University,Manhattan KS,Kansas,Eng-Ind,kristan,l,corwin
Kansas State University,Manhattan KS,Kansas,Soc,christy,moran,craft
Kansas State University,Manhattan KS,Kansas,Phys,louis, crane
Kansas State University,Manhattan KS,Kansas,Hist-Ped-Psi,duane,w,crawford
Kansas State University,Manhattan KS,Kansas,Hum,melinda,ann,cro
Kansas State University,Manhattan KS,Kansas,Soc,mark,christopher,crosby
Kansas State University,Manhattan KS,Kansas,Eng-Ind,christopher,t,culbertson
Kansas State University,Manhattan KS,Kansas,Agr,randall,s,currie
Kansas State University,Manhattan KS,Kansas,Soc,laurie,j,curtis
Kansas State University,Manhattan KS,Kansas,Econ,timothy,john,dalton
Kansas State University,Manhattan KS,Kansas,Eng-Ind,raju,s,dandu
Kansas State University,Manhattan KS,Kansas,Agr,saugata, datta
Kansas State University,Manhattan KS,Kansas,Med,anne,sally,davis
Kansas State University,Manhattan KS,Kansas,Bio,duane,l,davis
Kansas State University,Manhattan KS,Kansas,Bio,elizabeth,g,davis
Kansas State University,Manhattan KS,Kansas,Agr,gregory,l,davis
Kansas State University,Manhattan KS,Kansas,Agr,lawrence,c,davis
Kansas State University,Manhattan KS,Kansas,Math,dwight,d,day
Kansas State University,Manhattan KS,Kansas,Eng-Ind,julia,katherine,day
Kansas State University,Manhattan KS,Kansas,Agr,brad,m,debey
Kansas State University,Manhattan KS,Kansas,Soc,claire,l,dehon
Kansas State University,Manhattan KS,Kansas,Econ,dan,s,deines
Kansas State University,Manhattan KS,Kansas,Math,scott,a,deloach
Kansas State University,Manhattan KS,Kansas,Phys,robert,k,delong
Kansas State University,Manhattan KS,Kansas,Phys,brett,d,depaola
Kansas State University,Manhattan KS,Kansas,Eng-Ind,melanie,m,derby
Kansas State University,Manhattan KS,Kansas,Bio,joel,m,derouchey
Kansas State University,Manhattan KS,Kansas,Eng-Ind,john,j,devore
Kansas State University,Manhattan KS,Kansas,Soc,torry,d,dickinson
Kansas State University,Manhattan KS,Kansas,Eng-Ind,janice,m,dinkel
Kansas State University,Manhattan KS,Kansas,Eng-Ind,sunanda, dissanayake
Kansas State University,Manhattan KS,Kansas,Eng-Ind,hulya, dogan
Kansas State University,Manhattan KS,Kansas,Agr,teresa,lea,douthit
Kansas State University,Manhattan KS,Kansas,Med,barry,a,dover
Kansas State University,Manhattan KS,Kansas,Agr,james,s,drouillard
Kansas State University,Manhattan KS,Kansas,Math,juan, du
Kansas State University,Manhattan KS,Kansas,Bio,suzanne,r,dubnicka
Kansas State University,Manhattan KS,Kansas,Phys,william,l,dunn
Kansas State University,Manhattan KS,Kansas,Chem,timothy,patrick,durrett
Kansas State University,Manhattan KS,Kansas,Hist-Ped-Psi,jared,a,durtschi
Kansas State University,Manhattan KS,Kansas,Chem,stephen,a,dyer
Kansas State University,Manhattan KS,Kansas,Med,david,a,dzewaltowski
Kansas State University,Manhattan KS,Kansas,Math,todd,w,easton
Kansas State University,Manhattan KS,Kansas,Eng-Ind,steven,j,eckels
Kansas State University,Manhattan KS,Kansas,Econ,ike,c,ehie
Kansas State University,Manhattan KS,Kansas,Hum,gregory,j,eiselein
Kansas State University,Manhattan KS,Kansas,Agr,jason,d,ellis
Kansas State University,Manhattan KS,Kansas,Med,david,nir,eshar
Kansas State University,Manhattan KS,Kansas,Math,asad, esmaeily
Kansas State University,Manhattan KS,Kansas,Phys,brett,d,esry
Kansas State University,Manhattan KS,Kansas,Hum,jessica,m,falcone
Kansas State University,Manhattan KS,Kansas,Med,ying, fang
Kansas State University,Manhattan KS,Kansas,Bio,brian,r,faris
Kansas State University,Manhattan KS,Kansas,Agr,diana,m,farmer
Kansas State University,Manhattan KS,Kansas,Med,jaymelynn,k,farney
Kansas State University,Manhattan KS,Kansas,Bio,jon,m,faubion
Kansas State University,Manhattan KS,Kansas,Soc,judy,k,favor
Kansas State University,Manhattan KS,Kansas,Phys,roman, fedorov
Kansas State University,Manhattan KS,Kansas,Phys,donald,l,fenton
Kansas State University,Manhattan KS,Kansas,Bio,carolyn, ferguson
Kansas State University,Manhattan KS,Kansas,Agr,walter,h,fick
Kansas State University,Manhattan KS,Kansas,Med,karol,e,fike
Kansas State University,Manhattan KS,Kansas,Soc,leigh,e,fine
Kansas State University,Manhattan KS,Kansas,Soc,dann,g,fisher
Kansas State University,Manhattan KS,Kansas,Soc,eric,j,fitzsimmons
Kansas State University,Manhattan KS,Kansas,Chem,bret,n,flanders
Kansas State University,Manhattan KS,Kansas,Bio,sherry,d,fleming
Kansas State University,Manhattan KS,Kansas,Agr,barry,l,flinchbaugh
Kansas State University,Manhattan KS,Kansas,Hum,salvatore, florio
Kansas State University,Manhattan KS,Kansas,Soc,michael,ernest,flynn
Kansas State University,Manhattan KS,Kansas,Bio,peying, fong
Kansas State University,Manhattan KS,Kansas,Agr,anserd,j,foster
Kansas State University,Manhattan KS,Kansas,Econ,john,a,fox
Kansas State University,Manhattan KS,Kansas,Soc,james,l,franke
Kansas State University,Manhattan KS,Kansas,Hum,carol,s,franko
Kansas State University,Manhattan KS,Kansas,Hum,gloria,b,freeland
Kansas State University,Manhattan KS,Kansas,Soc,marsha,l,frey
Kansas State University,Manhattan KS,Kansas,Hist-Ped-Psi,jerome, frieman
Kansas State University,Manhattan KS,Kansas,Agr,allan,k,fritz
Kansas State University,Manhattan KS,Kansas,Agr,john,o,fritz
Kansas State University,Manhattan KS,Kansas,Agr,jack,d,fry
Kansas State University,Manhattan KS,Kansas,Chem,r,todd,gabbard
Kansas State University,Manhattan KS,Kansas,Geo,sabreen,ata,gad
Kansas State University,Manhattan KS,Kansas,Med,gary,l,gadbury
Kansas State University,Manhattan KS,Kansas,Agr,roman,reddy,ganta
Kansas State University,Manhattan KS,Kansas,Hist-Ped-Psi,jane,mertz,garcia
Kansas State University,Manhattan KS,Kansas,Soc,alisa,m,garni
Kansas State University,Manhattan KS,Kansas,Agr,karen,l b,gast
Kansas State University,Manhattan KS,Kansas,Econ,philip,g,gayle
Kansas State University,Manhattan KS,Kansas,Med,ronette, gehring
Kansas State University,Manhattan KS,Kansas,Bio,brian,v,geisbrecht
Kansas State University,Manhattan KS,Kansas,Chem,kelly,j karr,getty
Kansas State University,Manhattan KS,Kansas,Soc,jacque,e,gibbons
Kansas State University,Manhattan KS,Kansas,Soc,huston,j,gibson
Kansas State University,Manhattan KS,Kansas,Agr,michael,d,gibson
Kansas State University,Manhattan KS,Kansas,Agr,keith,b,gido
Kansas State University,Manhattan KS,Kansas,Phys,larry,a,glasgow
Kansas State University,Manhattan KS,Kansas,Hum,bruce,d,glymour
Kansas State University,Manhattan KS,Kansas,Bio,w,richard,goe
Kansas State University,Manhattan KS,Kansas,Med,gyuhyeong, goh
Kansas State University,Manhattan KS,Kansas,Med,wayne,e,goins
Kansas State University,Manhattan KS,Kansas,Soc,adriana,j,gonzalez
Kansas State University,Manhattan KS,Kansas,Soc,tanya, gonzalez
Kansas State University,Manhattan KS,Kansas,Bio,robert,d,goodband
Kansas State University,Manhattan KS,Kansas,Math,douglas,g,goodin
Kansas State University,Manhattan KS,Kansas,Soc,joye,c,gordon
Kansas State University,Manhattan KS,Kansas,Bio,revathi, govind
Kansas State University,Manhattan KS,Kansas,Soc,david,andrew,graff
Kansas State University,Manhattan KS,Kansas,Med,sara,elizabeth,gragg
Kansas State University,Manhattan KS,Kansas,Med,gregory,f,grauer
Kansas State University,Manhattan KS,Kansas,Med,david,m,grieger
Kansas State University,Manhattan KS,Kansas,Soc,charles,j g,griffin
Kansas State University,Manhattan KS,Kansas,Bio,jason, griffin
Kansas State University,Manhattan KS,Kansas,Math,terry,w,griffin
Kansas State University,Manhattan KS,Kansas,Math,don,m,gruenbacher
Kansas State University,Manhattan KS,Kansas,Med,katharine,k,grunewald
Kansas State University,Manhattan KS,Kansas,Geo,james,a,guikema
Kansas State University,Manhattan KS,Kansas,Econ,sherry,j,haar
Kansas State University,Manhattan KS,Kansas,Soc,gregg,lewis,hadley
Kansas State University,Manhattan KS,Kansas,Econ,amy,m,hageman
Kansas State University,Manhattan KS,Kansas,Eng-Ind,william, hageman
Kansas State University,Manhattan KS,Kansas,Soc,howard,d,hahn
Kansas State University,Manhattan KS,Kansas,Math,hrant, hakobyan
Kansas State University,Manhattan KS,Kansas,Soc,james,r,hamilton
Kansas State University,Manhattan KS,Kansas,Hum,albert,n,hamscher
Kansas State University,Manhattan KS,Kansas,Hist-Ped-Psi,soohye, han
Kansas State University,Manhattan KS,Kansas,Bio,joe,dan,hancock
Kansas State University,Manhattan KS,Kansas,Chem,ryan,robert,hansen
Kansas State University,Manhattan KS,Kansas,Med,jennifer,ann,hanson
Kansas State University,Manhattan KS,Kansas,Eng-Ind,troy,d,harding
Kansas State University,Manhattan KS,Kansas,Med,philip,r,hardwidge
Kansas State University,Manhattan KS,Kansas,Agr,kenneth,r,harkin
Kansas State University,Manhattan KS,Kansas,Med,craig,a,harms
Kansas State University,Manhattan KS,Kansas,Bio,joseph,p,harner
Kansas State University,Manhattan KS,Kansas,Bio,richard,j,harris
Kansas State University,Manhattan KS,Kansas,Econ,eric,michael,hartman
Kansas State University,Manhattan KS,Kansas,Agr,mark,d,haub
Kansas State University,Manhattan KS,Kansas,Hum,christina,l,hauck
Kansas State University,Manhattan KS,Kansas,Chem,mei, he
Kansas State University,Manhattan KS,Kansas,Econ,stuart,j,heckman
Kansas State University,Manhattan KS,Kansas,Soc,donald,k,hedrick
Kansas State University,Manhattan KS,Kansas,Soc,brianne,m,heidbreder
Kansas State University,Manhattan KS,Kansas,Math,jessica,lee,heier stamm
Kansas State University,Manhattan KS,Kansas,Soc,katie,m,heinrich
Kansas State University,Manhattan KS,Kansas,Agr,nathan,p,hendricks
Kansas State University,Manhattan KS,Kansas,Bio,jamie,n,henningson
Kansas State University,Manhattan KS,Kansas,Med,jonathan,charles carter,herington
Kansas State University,Manhattan KS,Kansas,Soc,socorro,g,herrera
Kansas State University,Manhattan KS,Kansas,Agr,richard,a,hesse
Kansas State University,Manhattan KS,Kansas,Bio,ganga, hettiarachchi
Kansas State University,Manhattan KS,Kansas,Hum,amelia,jane,hicks
Kansas State University,Manhattan KS,Kansas,Agr,mary,lynn,higginbotham
Kansas State University,Manhattan KS,Kansas,Chem,daniel,a,higgins
Kansas State University,Manhattan KS,Kansas,Soc,michael,j,higgins
Kansas State University,Manhattan KS,Kansas,Eng-Ind,kim,y,hiller connell
Kansas State University,Manhattan KS,Kansas,Med,linda,a,hoag
Kansas State University,Manhattan KS,Kansas,Eng-Ind,sheryl, hodge
Kansas State University,Manhattan KS,Kansas,Med,david,s,hodgson
Kansas State University,Manhattan KS,Kansas,Soc,casey,d,hoeve
Kansas State University,Manhattan KS,Kansas,Chem,keith,l,hohn
Kansas State University,Manhattan KS,Kansas,Med,michael,c,holen
Kansas State University,Manhattan KS,Kansas,Chem,mark,d,hollingsworth
Kansas State University,Manhattan KS,Kansas,Med,larry,c,hollis
Kansas State University,Manhattan KS,Kansas,Phys,glenn,a,hortonsmith
Kansas State University,Manhattan KS,Kansas,Eng-Ind,mohammad,h,hosni
Kansas State University,Manhattan KS,Kansas,Agr,terry,a,houser
Kansas State University,Manhattan KS,Kansas,Math,rodney,r,howell
Kansas State University,Manhattan KS,Kansas,Soc,jared,a,hoyle
Kansas State University,Manhattan KS,Kansas,Hist-Ped-Psi,weiwen, hsu
Kansas State University,Manhattan KS,Kansas,Econ,william,henry,hsu
Kansas State University,Manhattan KS,Kansas,Hist-Ped-Psi,kenneth,f,hughey
Kansas State University,Manhattan KS,Kansas,Med,lindsey,e,hulbert
Kansas State University,Manhattan KS,Kansas,Soc,jon,d,hunt
Kansas State University,Manhattan KS,Kansas,Agr,melvin,c,hunt
Kansas State University,Manhattan KS,Kansas,Agr,gregory,a,ibendahl
Kansas State University,Manhattan KS,Kansas,Math,lizaveta, ihnatsyeva
Kansas State University,Manhattan KS,Kansas,Hist-Ped-Psi,brandon,charles,irwin
Kansas State University,Manhattan KS,Kansas,Chem,takashi, ito
Kansas State University,Manhattan KS,Kansas,Eng-Ind,mark,james,jackson
Kansas State University,Manhattan KS,Kansas,Bio,john,r,jaeger
Kansas State University,Manhattan KS,Kansas,Econ,swinder, janda
Kansas State University,Manhattan KS,Kansas,Hum,michele, janette
Kansas State University,Manhattan KS,Kansas,Econ,jichul, jang
Kansas State University,Manhattan KS,Kansas,Agr,douglas,j,jardine
Kansas State University,Manhattan KS,Kansas,Math,anthony, joern
Kansas State University,Manhattan KS,Kansas,Med,elaine,m,johannes
Kansas State University,Manhattan KS,Kansas,Hum,laurie,m,johnson
Kansas State University,Manhattan KS,Kansas,Bio,loretta,c,johnson
Kansas State University,Manhattan KS,Kansas,Eng-Ind,byron,w,jones
Kansas State University,Manhattan KS,Kansas,Agr,cassandra,k,jones
Kansas State University,Manhattan KS,Kansas,Chem,siny, joseph
Kansas State University,Manhattan KS,Kansas,Bio,mithila, jugulam
Kansas State University,Manhattan KS,Kansas,Hist-Ped-Psi,marilyn,s,kaff
Kansas State University,Manhattan KS,Kansas,Soc,haijun, kang
Kansas State University,Manhattan KS,Kansas,Chem,ji,hye,kang
Kansas State University,Manhattan KS,Kansas,Soc,laura,m,kanost
Kansas State University,Manhattan KS,Kansas,Bio,donald,w,kaufman
Kansas State University,Manhattan KS,Kansas,Soc,migette,l,kaup
Kansas State University,Manhattan KS,Kansas,Agr,timothy,d,keane
Kansas State University,Manhattan KS,Kansas,Agr,steven,j,keeley
Kansas State University,Manhattan KS,Kansas,Chem,julia,a,keen
Kansas State University,Manhattan KS,Kansas,Agr,megan, kennelly
Kansas State University,Manhattan KS,Kansas,Math,gabriel,david,kerr
Kansas State University,Manhattan KS,Kansas,Eng-Ind,saeed,m,khan
Kansas State University,Manhattan KS,Kansas,Med,tandalayo, kidd
Kansas State University,Manhattan KS,Kansas,Med,stephen,w,kiefer
Kansas State University,Manhattan KS,Kansas,Bio,jooyoun, kim
Kansas State University,Manhattan KS,Kansas,Med,yunjeong, kim
Kansas State University,Manhattan KS,Kansas,Chem,matthew,f,kirk
Kansas State University,Manhattan KS,Kansas,Bio,mary,beth,kirkham
Kansas State University,Manhattan KS,Kansas,Soc,kimberly, kirkpatrick
Kansas State University,Manhattan KS,Kansas,Econ,emizet,francois,kisangani
Kansas State University,Manhattan KS,Kansas,Phys,phillip,earl,klebba
Kansas State University,Manhattan KS,Kansas,Soc,brandon,w,kliewer
Kansas State University,Manhattan KS,Kansas,Geo,gerard,j,kluitenberg
Kansas State University,Manhattan KS,Kansas,Soc,e,ann,knackendoffel
Kansas State University,Manhattan KS,Kansas,Hist-Ped-Psi,patrick,a,knight
Kansas State University,Manhattan KS,Kansas,Math,matthew,a,knox
Kansas State University,Manhattan KS,Kansas,Soc,mary,elizabeth,kohn
Kansas State University,Manhattan KS,Kansas,Bio,kadri, koppel
Kansas State University,Manhattan KS,Kansas,Math,marianne, korten
Kansas State University,Manhattan KS,Kansas,Econ,joy,m,kozar
Kansas State University,Manhattan KS,Kansas,Eng-Ind,bradley,a,kramer
Kansas State University,Manhattan KS,Kansas,Hum,michael,a,krysko
Kansas State University,Manhattan KS,Kansas,Econ,daniel,d,kuester
Kansas State University,Manhattan KS,Kansas,Math,william,b,kuhn
Kansas State University,Manhattan KS,Kansas,Phys,vinod, kumarappan
Kansas State University,Manhattan KS,Kansas,Bio,meena, kumari
Kansas State University,Manhattan KS,Kansas,Agr,junehee, kwon
Kansas State University,Manhattan KS,Kansas,Geo,brice,jeandidier,lacroix
Kansas State University,Manhattan KS,Kansas,Bio,david,k,lambert
Kansas State University,Manhattan KS,Kansas,Bio,michael,w,lambert
Kansas State University,Manhattan KS,Kansas,Bio,freddie,ray,lamm
Kansas State University,Manhattan KS,Kansas,Soc,jessica, lane
Kansas State University,Manhattan KS,Kansas,Hum,amy,l,lara
Kansas State University,Manhattan KS,Kansas,Soc,lotta, larson
Kansas State University,Manhattan KS,Kansas,Agr,robert,l,larson
Kansas State University,Manhattan KS,Kansas,Agr,james,m,lattimer
Kansas State University,Manhattan KS,Kansas,Agr,catherine,camille,lavis
Kansas State University,Manhattan KS,Kansas,Chem,bruce,m,law
Kansas State University,Manhattan KS,Kansas,Eng-Ind,kevin,b,lease
Kansas State University,Manhattan KS,Kansas,Bio,john,c,leatherman
Kansas State University,Manhattan KS,Kansas,Bio,stella,yuchien,lee
Kansas State University,Manhattan KS,Kansas,Econ,melody,l a,lehew
Kansas State University,Manhattan KS,Kansas,Phys,shuting, lei
Kansas State University,Manhattan KS,Kansas,Phys,jun, li
Kansas State University,Manhattan KS,Kansas,Chem,ping, li
Kansas State University,Manhattan KS,Kansas,Soc,wendong, li
Kansas State University,Manhattan KS,Kansas,Soc,jia, liang
Kansas State University,Manhattan KS,Kansas,Agr,james,d,lillich
Kansas State University,Manhattan KS,Kansas,Phys,dong, lin
Kansas State University,Manhattan KS,Kansas,Eng-Ind,xiaomao, lin
Kansas State University,Manhattan KS,Kansas,Math,zongzhu, lin
Kansas State University,Manhattan KS,Kansas,Med,brian,l,lindshield
Kansas State University,Manhattan KS,Kansas,Soc,mark,e,linville
Kansas State University,Manhattan KS,Kansas,Bio,christopher,r,little
Kansas State University,Manhattan KS,Kansas,Med,bin, liu
Kansas State University,Manhattan KS,Kansas,Med,sanzhen, liu
Kansas State University,Manhattan KS,Kansas,Eng-Ind,zifei, liu
Kansas State University,Manhattan KS,Kansas,Soc,lorenza, lockett
Kansas State University,Manhattan KS,Kansas,Agr,romulo,pisa,lollato
Kansas State University,Manhattan KS,Kansas,Soc,andrew,g,long
Kansas State University,Manhattan KS,Kansas,Hum,anne, longmuir
Kansas State University,Manhattan KS,Kansas,Phys,lester,c,loschky
Kansas State University,Manhattan KS,Kansas,Med,mickey,lee,losinski
Kansas State University,Manhattan KS,Kansas,Soc,sara,r,luly
Kansas State University,Manhattan KS,Kansas,Med,wenjun, ma
Kansas State University,Manhattan KS,Kansas,Soc,maurice,marcus,macdonald
Kansas State University,Manhattan KS,Kansas,Hum,james,l,machor
Kansas State University,Manhattan KS,Kansas,Agr,ronaldo,g,maghirang
Kansas State University,Manhattan KS,Kansas,Math,john,s,maginnis
Kansas State University,Manhattan KS,Kansas,Med,emily,louise,mailey
Kansas State University,Manhattan KS,Kansas,Math,diego,m,maldonado
Kansas State University,Manhattan KS,Kansas,Econ,kristin,m,malek
Kansas State University,Manhattan KS,Kansas,Math,yurii, maravin
Kansas State University,Manhattan KS,Kansas,Eng-Ind,david,c,margolies
Kansas State University,Manhattan KS,Kansas,Agr,jeremy, marshall
Kansas State University,Manhattan KS,Kansas,Agr,charles,w,martin
Kansas State University,Manhattan KS,Kansas,Soc,sherri,l,martinie
Kansas State University,Manhattan KS,Kansas,Soc,phillip,p,marzluf
Kansas State University,Manhattan KS,Kansas,Econ,terry,wayne,mason
Kansas State University,Manhattan KS,Kansas,Med,alexander,p,mathews
Kansas State University,Manhattan KS,Kansas,Hum,wendy, matlock
Kansas State University,Manhattan KS,Kansas,Math,mikhail, mazin
Kansas State University,Manhattan KS,Kansas,Bio,brian,p,mccornack
Kansas State University,Manhattan KS,Kansas,Hum,heather,l,mccrea
Kansas State University,Manhattan KS,Kansas,Med,jocelyn,a,mcdonald
Kansas State University,Manhattan KS,Kansas,Hist-Ped-Psi,mary,a,mcelroy
Kansas State University,Manhattan KS,Kansas,Agr,jodi,l,mcgill
Kansas State University,Manhattan KS,Kansas,Hum,michael,j,mcglynn
Kansas State University,Manhattan KS,Kansas,Chem,douglas,s,mcgregor
Kansas State University,Manhattan KS,Kansas,Hum,janice,michelle,mcgregor
Kansas State University,Manhattan KS,Kansas,Eng-Ind,roger,w,mchaney
